"TRAN","TPLOT","TAG","SPEC","YRTAG","YRREC","STAT87","STAT98","STAT99","STAT00","STAT10","STAT11","YRDERC","DBH87","DECW87","DECM87","CPOS87","DBH98","NOTE98","DBH99","DAH99","HTCL99","HT99","COND99","CII00","NOTE00","DBH10","NOTE10","DBH11","DAH11","HTCL11","HT11","SNHT11","COND11","CII11","NOTE11","HR","DIST","WTAZ","WITN","ELEVCL","ASPCL","SLOPE87","MICR","CLASS","CODE98A","PISAP87","HRB87","HRB1_87","HRB2_87","HRB3_87","SHRB1_87","SHRB2_87","SHRB3_87","SLOPE10_D","SLOPE10_P","CODE98B","ASP","ELEV","SOILOLD","SLOPE99","TRAD","TRAD11","ABSRAD","ABSRAD11","slope11_d","asp11","elev_ft11","elev_m11","EDBH99","EDBH11","FORM99","FORM11","soilcl","TECH","htpred87","htpred98","htpred99","htpred10","htpred11","HHhtpred87","HHhtpred98","HHhtpred99","HHhtpred10","HHhtpred11","canht87","canht98","canht99","canht10","canht11","ht87","ht98","ht99","ht10","ht11","kozak87","honer87","kozak98","honer98","kozak99","honer99","kozak10","honer10","kozak11","honer11","clark87","clark98","clark99","clark10","clark11","bv87","bv98","bv99","bv10","bv11"
"E320",1,9879,"ABBA",2010,2010,"","","","","ALIVE","",NA,NA,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",6.5,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,NA,NA,5.13694786991226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13694786991226,NA,NA,NA,NA,NA,NA,NA,0.00859762377843126,0.00925516888056395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00859762377843126,NA
"E320",1,98814,"ABBA",1998,1998,"","ALIVE","","","ALIVE","",NA,NA,NA,NA,"",6.5,"",NA,NA,"",NA,"",NA,"",9,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,5.25631308397192,NA,6.92206948598329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.25631308397192,NA,6.92206948598329,NA,NA,NA,0.00877345743189658,0.00944679312487364,NA,NA,0.0221410182776766,0.0230543830882023,NA,NA,NA,NA,NA,NA,NA,NA,0.00877345743189658,NA,0.0221410182776766,NA
"E320",1,98815,"ACPE",1998,1998,"","ALIVE","","","NF","",2010,NA,NA,NA,"",6.1,"",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",28,"PLAN",TRUE,"",2,40,"DRSP/DRIN","OXMO","MOSS","ACSA","VIAL","SAPU",NA,NA,"",161,782,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",NA,6.81791265098837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.81791265098837,NA,NA,NA,NA,NA,NA,0.00885514064235785,NA,NA,NA,NA,NA,NA,NA,0.0163705150268777,NA,NA,NA,NA,0.0163705150268777,NA,NA,NA
"E320",2,205,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,12.4,NA,NA,"",13,"",NA,NA,"",NA,"",NA,"",13.6,"",NA,NA,"",NA,"","",NA,"",NA,2.1,16,1,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",9.76740479354108,10.1954933748641,NA,10.0696834595758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.76740479354108,10.1954933748641,NA,10.0696834595758,NA,0.0607181900607612,0.0584215965800721,0.0700241538701023,0.0664868079338175,NA,NA,0.0755699954663639,0.0720382012599686,NA,NA,NA,NA,NA,NA,NA,0.0607181900607612,0.0700241538701023,NA,0.0755699954663639,NA
"E320",2,208,"ACSA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,12.2,NA,NA,"",13.1,"",NA,NA,"",NA,"",NA,"",14.8,"",NA,NA,"",NA,"","",NA,"",NA,2.39,196,1,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",10.1230232693907,10.3869415548828,NA,12.2142153548684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1230232693907,10.3869415548828,NA,12.2142153548684,NA,NA,0.0511667133893004,NA,0.0604017523958684,NA,NA,NA,0.0893235905524204,NA,NA,0.05033564809374,0.0587022289710304,NA,0.0905182467064609,NA,0.05033564809374,0.0587022289710304,NA,0.0905182467064609,NA
"E320",2,210,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,18.8,NA,NA,"",19.9,"",NA,NA,"",NA,"",NA,"",20.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",13.7082534767468,14.2351532333109,NA,13.188774588953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.7082534767468,14.2351532333109,NA,13.188774588953,NA,0.206919822790942,0.175370973715271,0.242745384979208,0.202167030221013,NA,NA,0.225209409252981,0.194650028665458,NA,NA,NA,NA,NA,NA,NA,0.206919822790942,0.242745384979208,NA,0.225209409252981,NA
"E320",2,211,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,16.2,NA,NA,"",17.9,"",NA,NA,"",NA,"",NA,"",19.6,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",12.2841293457415,13.2439218455402,NA,13.0023174711768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2841293457415,13.2439218455402,NA,13.0023174711768,NA,0.134773867673583,0.119697117479209,0.17994387875957,0.154865401477011,NA,NA,0.210559572376256,0.18307743867788,NA,NA,NA,NA,NA,NA,NA,0.134773867673583,0.17994387875957,NA,0.210559572376256,NA
"E320",2,212,"ABBA",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,21,NA,NA,"",25.2,"",NA,NA,"",NA,"",NA,"",29.1,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",14.7185982410752,16.2004957157771,NA,15.3770766592648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7185982410752,16.2004957157771,NA,15.3770766592648,NA,0.281667138898536,0.230830392181235,0.45752916573407,0.35670101536836,NA,NA,0.568883289517484,0.457846190214973,NA,NA,NA,NA,NA,NA,NA,0.281667138898536,0.45752916573407,NA,0.568883289517484,NA
"E320",2,213,"ABBA",1987,NA,"ALIVE","DEAD","","","DEAD","",1998,5.3,NA,NA,"",NA,"",NA,NA,"",NA,"",NA,"",NA,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",42,"PLAN",TRUE,"5",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",4.40252264584984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.40252264584984,NA,NA,NA,NA,0.00495031185683625,0.00535532063819222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00495031185683625,NA,NA,NA,NA
"E320",2,220,"BEAL",1987,NA,"ALIVE","ALIVE","","","ALIVE","",NA,59.5,NA,NA,"",60.6,"",NA,NA,"",NA,"",NA,"",61.7,"",NA,NA,"",NA,"","",NA,"",NA,NA,NA,NA,"L","E",42,"PLAN",TRUE,"",0,35,"CASPP","DRSP/DRIN","OXMO","VIAL","ACSA","SAPU",NA,NA,"",164,805,"S",NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,"","","I","",17.0958098015625,17.1118444132835,NA,17.0920073235382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0958098015625,17.1118444132835,NA,17.0920073235382,NA,NA,2.01351999244461,NA,2.09024260588929,NA,NA,NA,2.16478192312289,NA,NA,2.26906299196369,2.35518974151377,NA,2.43968257059639,NA,2.26906299196369,2.35518974151377,NA,2.43968257059639,NA
